,Date,District,PCR_Postive_Count,PCR_Positive_Hospitalised,Deceased,temperature,wind_speed,relative_humidity
6534,2022-03-07,KS Mainz,736,4,0,1.428,12.112,51.76
6535,2022-03-07,KS Neustadt a.d.W.,121,0,0,-1.4,25.872,55.56
6536,2022-03-07,KS Kaiserslautern,124,5,0,0.348,25.872,53.52
6537,2022-03-07,Rhein-Pfalz-Kreis,400,3,1,1.08,11.64,53.4
6538,2022-03-07,Alzey-Worms,107,0,0,0.284,10.944,51.76
6539,2022-03-07,KS Landau i.d.Pf.,113,0,0,1.028,25.872,51.2
6540,2022-03-08,Bad Kreuznach,610,10,0,1.796,9.08,57.96
6541,2022-03-08,Bernkastel-Wittlich,384,2,0,2.196,17.248,38.76
6542,2022-03-08,Birkenfeld,182,0,0,0.708,7.356,51.84
6543,2022-03-08,Cochem-Zell,182,0,0,1.984,15.612,52.0
6544,2022-03-08,Donnersbergkreis,229,3,1,1.848,27.088,48.08
6545,2022-03-08,Kaiserslautern,394,1,1,1.564,27.088,51.44
6546,2022-03-08,Mainz-Bingen,677,6,0,3.564,14.408,49.24
6547,2022-03-08,Mayen-Koblenz,670,1,1,1.74,10.096,60.68
6548,2022-03-08,Rhein-Lahn-Kreis,546,8,0,3.564,9.08,60.68
6549,2022-03-08,Rhein-Pfalz-Kreis,355,4,0,1.712,8.948,55.44
6550,2022-03-08,Germersheim,41,7,0,1.396,27.088,46.48
6551,2022-03-08,Neuwied,370,2,0,3.0,10.096,49.4
6552,2022-03-08,Kusel,180,2,2,2.928,21.268,51.44
6553,2022-03-08,Alzey-Worms,224,7,1,2.344,9.08,49.24
6554,2022-03-08,Trier-Saarburg,395,8,0,4.36,13.832,38.32
6555,2022-03-08,Westerwaldkreis,294,5,0,1.648,24.724,51.64
6556,2022-03-08,KS Frankenthal,147,0,0,2.216,8.948,56.04
6557,2022-03-08,KS Kaiserslautern,356,4,1,1.564,27.088,51.44
6558,2022-03-08,KS Koblenz,332,0,1,1.74,10.096,60.68
6559,2022-03-08,KS Landau i.d.Pf.,120,0,0,3.576,27.088,44.2
6560,2022-03-08,KS Ludwigshafen,374,6,1,3.396,8.948,49.0
6561,2022-03-08,KS Mainz,989,8,0,2.672,9.836,49.24
6562,2022-03-08,KS Neustadt a.d.W.,201,4,0,1.396,27.088,45.76
6563,2022-03-08,Altenkirchen,482,3,2,3.86,24.724,45.2
6564,2022-03-08,KS Speyer,103,1,0,3.5,8.948,46.48
6565,2022-03-08,KS Trier,317,3,0,4.36,13.832,38.32
6566,2022-03-08,KS Worms,131,6,0,2.216,8.948,56.04
6567,2022-03-08,Vulkaneifel,289,0,0,1.984,15.612,57.48
6568,2022-03-08,Ahrweiler,370,1,0,2.132,15.612,57.48
6569,2022-03-08,KS Pirmasens,72,4,1,2.868,17.98,43.88
6570,2022-03-09,Neuwied,453,1,0,5.116,5.232,41.56
6571,2022-03-09,Ahrweiler,386,2,2,3.596,9.276,57.68
6572,2022-03-09,Altenkirchen,239,0,0,4.652,16.92,43.2
6573,2022-03-09,Alzey-Worms,368,6,0,2.648,4.672,50.12
6574,2022-03-09,Bad Kreuznach,509,1,0,2.988,4.672,53.6
6575,2022-03-09,Bernkastel-Wittlich,374,3,0,5.412,8.4,50.44
6576,2022-03-09,Birkenfeld,227,0,0,1.888,3.384,53.88
6577,2022-03-09,Germersheim,861,2,0,4.388,13.864,49.4
6578,2022-03-09,Cochem-Zell,275,3,0,5.052,9.276,44.2
6579,2022-03-09,Donnersbergkreis,216,2,0,4.916,13.864,39.36
6580,2022-03-09,Kaiserslautern,316,1,0,2.492,13.864,55.92
6581,2022-03-09,Kusel,132,0,0,5.556,10.908,55.92
6582,2022-03-09,Mainz-Bingen,654,15,0,3.496,6.584,50.12
6583,2022-03-09,Mayen-Koblenz,526,4,0,2.684,5.232,60.44
6584,2022-03-09,Rhein-Lahn-Kreis,336,2,0,3.496,4.672,60.44
6585,2022-03-09,KS Neustadt a.d.W.,120,-1,0,4.388,13.864,39.12
6586,2022-03-09,KS Trier,336,5,0,4.672,8.024,50.56
6587,2022-03-09,KS Worms,243,3,1,2.02,4.456,56.32
6588,2022-03-09,Trier-Saarburg,437,9,1,4.672,8.024,50.56
