,Date,District,PCR_Postive_Count,PCR_Positive_Hospitalised,Deceased,temperature,wind_speed,relative_humidity
3767,2021-12-05,Trier-Saarburg,49,0,0,2.916,14.516,88.68
3768,2021-12-05,Westerwaldkreis,38,3,0,0.676,11.228,91.32
3769,2021-12-05,KS Kaiserslautern,0,0,0,2.656,18.448,86.48
3770,2021-12-05,KS Landau i.d.Pf.,35,0,0,3.144,18.448,90.04
3771,2021-12-05,KS Frankenthal,17,0,0,3.7,8.696,87.88
3772,2021-12-05,Vulkaneifel,6,1,2,1.5,10.428,78.16
3773,2021-12-05,KS Neustadt a.d.W.,29,0,0,0.92,18.448,93.32
3774,2021-12-05,KS Pirmasens,0,0,0,1.992,12.412,93.52
3775,2021-12-05,KS Speyer,14,0,0,4.364,8.696,83.64
3776,2021-12-05,Rhein-Lahn-Kreis,0,0,0,3.68,6.276,83.28
3777,2021-12-05,KS Trier,30,0,0,2.916,14.516,88.68
3778,2021-12-05,KS Worms,76,1,0,3.7,8.696,87.88
3779,2021-12-05,KS Mainz,12,0,0,3.864,10.68,89.16
3780,2021-12-06,Ahrweiler,42,0,0,2.552,9.184,83.24
3781,2021-12-06,Altenkirchen,54,1,0,1.756,11.568,88.08
3782,2021-12-06,Bad Kreuznach,32,0,0,2.176,6.056,94.72
3783,2021-12-06,Bernkastel-Wittlich,21,1,0,1.34,12.912,95.28
3784,2021-12-06,Alzey-Worms,117,1,2,1.732,6.056,93.16
3785,2021-12-06,Kaiserslautern,57,0,0,1.196,14.192,90.48
3786,2021-12-06,Cochem-Zell,30,2,0,-0.296,9.184,92.24
3787,2021-12-06,Donnersbergkreis,71,1,0,0.408,14.192,94.64
3788,2021-12-06,Kusel,24,3,0,0.132,9.868,90.48
3789,2021-12-06,Mainz-Bingen,44,0,0,2.176,8.588,93.16
3790,2021-12-06,Mayen-Koblenz,105,0,0,2.184,6.888,87.48
3791,2021-12-06,Birkenfeld,17,4,2,0.06,6.156,94.24
3792,2021-12-06,Neuwied,0,0,0,0.984,6.888,93.4
3793,2021-12-06,Germersheim,157,8,0,0.192,14.192,86.0
3794,2021-12-06,Vulkaneifel,4,0,0,-0.296,9.184,83.24
3795,2021-12-06,KS Koblenz,37,0,0,2.184,6.888,87.48
3796,2021-12-06,Trier-Saarburg,35,0,1,1.34,12.912,95.28
3797,2021-12-06,Westerwaldkreis,110,3,0,0.572,11.568,89.08
3798,2021-12-06,KS Frankenthal,45,-1,0,2.584,7.264,89.44
3799,2021-12-06,KS Kaiserslautern,61,0,1,1.196,14.192,90.48
3800,2021-12-06,KS Mainz,66,2,0,1.972,7.664,93.16
3801,2021-12-06,KS Worms,114,0,0,2.584,7.264,89.44
3802,2021-12-06,KS Ludwigshafen,153,0,0,2.604,7.264,88.56
3803,2021-12-06,KS Landau i.d.Pf.,44,4,0,1.916,14.192,89.56
3804,2021-12-06,Rhein-Pfalz-Kreis,166,0,0,2.408,7.264,86.72
3805,2021-12-06,KS Trier,9,2,0,1.34,12.912,95.28
3806,2021-12-06,Rhein-Lahn-Kreis,26,0,0,2.176,6.056,87.48
3807,2021-12-06,KS Speyer,72,0,0,2.976,7.264,86.0
3808,2021-12-06,KS Pirmasens,11,2,2,0.648,9.692,94.64
3809,2021-12-06,KS Neustadt a.d.W.,50,0,2,0.192,14.192,94.12
3810,2021-12-07,KS Worms,62,4,0,4.112,14.76,78.12
3811,2021-12-07,KS Trier,28,0,0,3.608,19.884,84.12
3812,2021-12-07,KS Speyer,50,1,1,4.136,14.76,76.24
3813,2021-12-07,KS Pirmasens,38,2,0,2.492,16.36,88.44
